date,BASIC INDUSTRIES MOVE-AVG,HEALTH CARE MOVE-AVG,CONSUMER DURABLES MOVE-AVG,TECHNOLOGY MOVE-AVG,CONSUMER SERVICES MOVE-AVG,ENERGY MOVE-AVG,MISCELLANEOUS MOVE-AVG,FINANCE MOVE-AVG,CONSUMER NON-DURABLES MOVE-AVG,CAPITAL GOODS MOVE-AVG,PUBLIC UTILITIES MOVE-AVG,TRANSPORTATION MOVE-AVG
2005-09-09,907037.4036890831,908267.226436895,418021.77383196657,2700997.3057412812,973502.7719986645,1932376.3878906737,1073560.0217247272,427620.63978681434,963743.2354694131,679666.4784279349,836606.7383517276,859295.5889430894
2005-09-12,908158.5193060825,912065.9044249863,417366.09229837666,2707786.5076540723,974864.6824259706,1943524.2261635119,1095741.2681344023,428959.23136544204,964442.6529011059,679988.240711398,837561.0895450138,860296.6125624137
2005-09-13,910349.6293865636,914612.2884893775,417155.95383366675,2723166.2238297546,976048.2051649932,1950796.8561520972,1103883.204738345,430978.8069501075,967916.2730692952,679003.2117050678,841203.1066180159,860710.3328653497
2005-09-14,910638.5825313253,916866.1673798437,416990.4322447619,2725585.3140053595,978114.45848277,1951667.1427052387,1108211.04785059,431224.7907564361,968293.4982050916,677140.8674962199,841476.6341298786,859348.0840151923
2005-09-15,911777.4976861824,917357.2740699734,416233.50215737114,2726725.567735968,976778.370675061,1958643.1437720084,1102901.17229157,432172.66953137977,969530.432854954,676826.8788167399,843071.2530495452,856687.1648327046
2005-09-16,917442.7298315658,919545.7048396271,420003.1874733452,2739078.824777561,986693.3143011748,1958316.2780821428,1111001.871318403,436615.99084945885,980600.2303359902,677960.8070651642,846708.7081438006,859639.4506853172
2005-09-19,923253.5432968527,918693.1074988832,419599.62850268616,2745682.487334952,991737.8686363146,1967060.882638994,1108857.175881895,438100.36416074773,989942.0906224898,678612.7493697731,848674.7748104674,860016.3863978737
2005-09-20,927410.1487148632,918593.120090801,427462.36130724556,2755361.031576911,996946.2884810974,1971733.2427348637,1112139.5550004619,440984.06483915227,997144.7498010752,680185.6413795376,853153.7936036268,865807.5697848087
2005-09-21,933808.7865671368,919610.4969818816,432289.28187945025,2760246.1374502215,1004181.2687158373,1977442.8006565715,1117952.2113564515,440852.5890550757,1009143.8754019329,681928.0426481975,859271.2860730693,869042.6597318987
2005-09-22,933792.6003225534,918313.0228855789,433712.1657745813,2747218.1324239364,1009785.1172161121,1987252.6169518116,1108875.475484086,442861.2335067153,1014571.2352846982,683053.1462966372,861055.3475116187,857673.3977061006
2005-09-23,929931.2908499473,911785.0051430779,429054.66450411273,2745049.245312368,1004273.41240813,1981043.3907594995,1110619.5136321927,441703.1447774186,1007642.8652232916,678409.9800748057,858946.4504527953,850774.704895643
2005-09-26,935280.9560736124,914177.3311002018,428765.8870592521,2746407.949542076,1006817.1805937944,1987975.615585426,1112554.251742947,442939.5326011612,1004981.0183921017,678975.2372359489,862132.1453960813,849717.5849407429
2005-09-27,938819.8805487788,915890.6250513612,428182.1893658926,2746180.853729164,1004319.4859357694,1987515.9763110024,1116278.327076784,443936.0716872437,1004858.4594765649,680607.3328105076,864140.6161010298,846296.4815996394
2005-09-28,942484.0126975878,921052.8541059279,428350.4146464322,2754032.815770376,1003632.7354335869,1994667.4181966363,1115303.7263183356,444365.89035216725,1003988.1179051107,683057.5227968121,869016.6669987829,847004.1354684044
2005-09-29,946960.9027202636,920388.3613480408,427223.4156293756,2760756.955223651,1004109.8879488945,2000480.399741809,1121324.223983156,442765.73473158054,1004146.0777963134,681874.0045735,869934.0606959212,848403.9356682047
2005-09-30,955001.7034541771,920520.9562851992,427506.1980327747,2777869.933567065,1009013.6498214757,2006168.8571984349,1123073.2630199231,443804.0568581821,1004827.4707067185,682403.2599893383,872232.268840784,852894.9789991172
2005-10-03,959720.347992179,923962.6217003915,427931.5772864575,2784165.7033840762,1010153.2447246584,2008357.82076923,1124108.6018962143,444650.45954390476,1011342.9977868098,682670.1442363919,876820.6425569372,851016.2382583765
2005-10-04,965213.1918157482,925797.5708368313,429228.76204754144,2798195.22134574,1014432.4220595319,2016582.2533134683,1124951.2080592054,445077.37051874073,1014104.1331094574,682873.7750848761,878439.2183525263,853849.9291838033
2005-10-05,973332.8572006375,927072.0596481623,429930.2989028051,2806148.248906308,1016291.500062895,2038759.122396624,1125077.6964868272,444095.7515413019,1015653.9818489533,684948.5255602023,886166.1178338003,856037.1018876426
2005-10-06,981972.1837413547,935060.3448700897,431105.25422650756,2822790.4769744473,1022965.3875959527,2081523.909433661,1125232.312359843,445273.9470019704,1019808.090577565,688028.2198645056,894736.8463859251,860083.730259271
